,0
RBC,0.07335236657721479
PCV,0.08507126245420961
MCV,0.13728977620111615
MCH,0.13016447859893673
MCHC,0.03939971322566681
RDW,0.06267372786812302
TLC,0.00882266880791961
PLT /mm3,0.017535502334872593
HGB,0.23178334849376675
mentzer_index,0.21390715543817396
